"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (10 OR MORE YEARS)","68","5.4"
"CENSUS","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (5 TO 9 YEARS)","24","16.6"
"CENSUS","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (LESS THAN 5 YEARS)","8","36.3"
"CENSUS","2021","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (10 OR MORE YEARS)","65","5.7"
"CENSUS","2021","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (5 TO 9 YEARS)","26","8.0"
"CENSUS","2021","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (LESS THAN 5 YEARS)","9","27.9"
"CENSUS","2021","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (10 OR MORE YEARS)","61","4.3"
"CENSUS","2021","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (5 TO 9 YEARS)","25","8.0"
"CENSUS","2021","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (LESS THAN 5 YEARS)","14","18.2"
"CENSUS","2021","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (10 OR MORE YEARS)","50","8.0"
"CENSUS","2021","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (5 TO 9 YEARS)","37","9.6"
"CENSUS","2021","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS","ORGANIC STATUS AND YEARS IN AG PRODUCTION","ORGANIC STATUS: (NOP USDA CERTIFIED) AND YEARS IN AG PRODUCTION: (LESS THAN 5 YEARS)","13","18.8"
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","COMPUTERS","COMPUTERS, DESKTOP & LAPTOP, OWNED & RENTED - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","75",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","COMPUTERS","COMPUTERS, OTHER, OWNED & RENTED - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","COMPUTERS","COMPUTERS, PORTABLE WIRELESS, INCL TABLETS, OWNED & RENTED - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","33",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","COMPUTERS","COMPUTERS, SMARTPHONES, OWNED & RENTED - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","85",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INTERNET","INTERNET, ACCESS, FEDERAL GOVT WEB SITES, (EXCL USDA) - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INTERNET","INTERNET, ACCESS, FEDERAL GOVT WEB SITES, USDA REPORTS OR SERVICES, (EXCL NASS) - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INTERNET","INTERNET, ACCESS, FEDERAL GOVT WEB SITES, USDA REPORTS, NASS - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INTERNET","INTERNET, ACCESS, PAID & UNPAID - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","90",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INTERNET","INTERNET, ACCESS, PAID - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","97",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INTERNET","INTERNET, ACCESS, UNPAID - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INTERNET","INTERNET, ACCESS, VIA BROADBAND - OPERATIONS, MEASURED IN PCT OF FARM OPERATIONS","TOTAL","NOT SPECIFIED","51",""
