"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","392,115,045","20.3"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","69,576,433","9.9"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","9,514,200","93.5"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","38,414,629","38.7"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","76,191,494","28.4"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","21,332,000","19.8"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","1,880,248","(H)"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","9,207,253","48.0"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","196,369,484","36.2"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","53,665,233","29.7"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","1,028,000","(H)"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","20,678,708","72.0"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","34,717,818","21.6"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","11,259,269","29.0"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","64,500","(H)"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","3,699,185","76.1"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","510,235,111","16.8"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","201,864,725","20.5"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","7,648,488","72.1"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","125,863,896","25.8"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","120,932,113","19.0"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","42,438,384","11.5"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","1,934,482","86.4"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","MACHINERY TOTALS","MACHINERY TOTALS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","22,992,843","25.8"
"CENSUS","2019","END OF DEC","","STATE","MISSOURI","29","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","114,694,814","37.9"
"CENSUS","2019","END OF DEC","","STATE","MISSOURI","29","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","59,663,336","25.3"
"CENSUS","2019","END OF DEC","","STATE","MISSOURI","29","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)"," (D)","(D)"
